year,type,count
2027,SIZE_4_INC_VERY_HIGH,50195
2028,SIZE_1_INC_LOW,15312
2028,SIZE_2_INC_LOW,277
2028,SIZE_3_INC_LOW,67
2028,SIZE_4_INC_LOW,9
2028,SIZE_1_INC_MEDIUM,95803
2028,SIZE_2_INC_MEDIUM,7324
2028,SIZE_3_INC_MEDIUM,1154
2028,SIZE_4_INC_MEDIUM,310
2028,SIZE_1_INC_HIGH,24509
2028,SIZE_2_INC_HIGH,45250
2028,SIZE_3_INC_HIGH,6603
2028,SIZE_4_INC_HIGH,3801
2028,SIZE_1_INC_VERY_HIGH,423
2028,SIZE_2_INC_VERY_HIGH,67441
2028,SIZE_3_INC_VERY_HIGH,58139
2028,SIZE_4_INC_VERY_HIGH,49333
2029,SIZE_1_INC_LOW,15702
2029,SIZE_2_INC_LOW,265
2029,SIZE_3_INC_LOW,71
2029,SIZE_4_INC_LOW,9
2029,SIZE_1_INC_MEDIUM,95466
2029,SIZE_2_INC_MEDIUM,7471
2029,SIZE_3_INC_MEDIUM,1161
2029,SIZE_4_INC_MEDIUM,284
2029,SIZE_1_INC_HIGH,24727
2029,SIZE_2_INC_HIGH,45230
2029,SIZE_3_INC_HIGH,6566
2029,SIZE_4_INC_HIGH,3782
2029,SIZE_1_INC_VERY_HIGH,504
2029,SIZE_2_INC_VERY_HIGH,67049
2029,SIZE_3_INC_VERY_HIGH,57019
2029,SIZE_4_INC_VERY_HIGH,48389
2030,SIZE_1_INC_LOW,16071
2030,SIZE_2_INC_LOW,260
2030,SIZE_3_INC_LOW,62
2030,SIZE_4_INC_LOW,9
2030,SIZE_1_INC_MEDIUM,95432
2030,SIZE_2_INC_MEDIUM,7596
2030,SIZE_3_INC_MEDIUM,1147
2030,SIZE_4_INC_MEDIUM,275
2030,SIZE_1_INC_HIGH,24842
2030,SIZE_2_INC_HIGH,45311
2030,SIZE_3_INC_HIGH,6408
2030,SIZE_4_INC_HIGH,3857
2030,SIZE_1_INC_VERY_HIGH,562
2030,SIZE_2_INC_VERY_HIGH,66576
2030,SIZE_3_INC_VERY_HIGH,55864
2030,SIZE_4_INC_VERY_HIGH,47406
2031,SIZE_1_INC_LOW,16487
2031,SIZE_2_INC_LOW,271
2031,SIZE_3_INC_LOW,71
2031,SIZE_4_INC_LOW,13
2031,SIZE_1_INC_MEDIUM,95596
2031,SIZE_2_INC_MEDIUM,7641
2031,SIZE_3_INC_MEDIUM,1159
2031,SIZE_4_INC_MEDIUM,261
2031,SIZE_1_INC_HIGH,24910
2031,SIZE_2_INC_HIGH,45099
2031,SIZE_3_INC_HIGH,6274
2031,SIZE_4_INC_HIGH,3958
2031,SIZE_1_INC_VERY_HIGH,633
2031,SIZE_2_INC_VERY_HIGH,66238
2031,SIZE_3_INC_VERY_HIGH,54507
2031,SIZE_4_INC_VERY_HIGH,46555
2032,SIZE_1_INC_LOW,16756
2032,SIZE_2_INC_LOW,260
2032,SIZE_3_INC_LOW,68
2032,SIZE_4_INC_LOW,10
2032,SIZE_1_INC_MEDIUM,95730
2032,SIZE_2_INC_MEDIUM,7703
2032,SIZE_3_INC_MEDIUM,1213
2032,SIZE_4_INC_MEDIUM,247
2032,SIZE_1_INC_HIGH,25088
2032,SIZE_2_INC_HIGH,44692
2032,SIZE_3_INC_HIGH,6090
2032,SIZE_4_INC_HIGH,3966
2032,SIZE_1_INC_VERY_HIGH,760
2032,SIZE_2_INC_VERY_HIGH,65651
2032,SIZE_3_INC_VERY_HIGH,53348
2032,SIZE_4_INC_VERY_HIGH,45792
2033,SIZE_1_INC_LOW,16963
2033,SIZE_2_INC_LOW,270
2033,SIZE_3_INC_LOW,67
2033,SIZE_4_INC_LOW,9
2033,SIZE_1_INC_MEDIUM,95902
2033,SIZE_2_INC_MEDIUM,7735
2033,SIZE_3_INC_MEDIUM,1204
2033,SIZE_4_INC_MEDIUM,249
2033,SIZE_1_INC_HIGH,25157
2033,SIZE_2_INC_HIGH,44636
2033,SIZE_3_INC_HIGH,5904
2033,SIZE_4_INC_HIGH,4026
2033,SIZE_1_INC_VERY_HIGH,849
2033,SIZE_2_INC_VERY_HIGH,65023
2033,SIZE_3_INC_VERY_HIGH,52163
2033,SIZE_4_INC_VERY_HIGH,45061
2034,SIZE_1_INC_LOW,17150
2034,SIZE_2_INC_LOW,251
2034,SIZE_3_INC_LOW,63
2034,SIZE_4_INC_LOW,14
2034,SIZE_1_INC_MEDIUM,96089
2034,SIZE_2_INC_MEDIUM,7774
2034,SIZE_3_INC_MEDIUM,1247
2034,SIZE_4_INC_MEDIUM,250
2034,SIZE_1_INC_HIGH,25253
2034,SIZE_2_INC_HIGH,44430
2034,SIZE_3_INC_HIGH,5829
2034,SIZE_4_INC_HIGH,3993
2034,SIZE_1_INC_VERY_HIGH,934
2034,SIZE_2_INC_VERY_HIGH,64515
2034,SIZE_3_INC_VERY_HIGH,50955
2034,SIZE_4_INC_VERY_HIGH,44252
2035,SIZE_1_INC_LOW,17430
2035,SIZE_2_INC_LOW,246
2035,SIZE_3_INC_LOW,67
2035,SIZE_4_INC_LOW,12
2035,SIZE_1_INC_MEDIUM,96015
2035,SIZE_2_INC_MEDIUM,7914
2035,SIZE_3_INC_MEDIUM,1242
2035,SIZE_4_INC_MEDIUM,264
2035,SIZE_1_INC_HIGH,25246
2035,SIZE_2_INC_HIGH,44197
2035,SIZE_3_INC_HIGH,5722
2035,SIZE_4_INC_HIGH,4030
2035,SIZE_1_INC_VERY_HIGH,1018
2035,SIZE_2_INC_VERY_HIGH,63794
2035,SIZE_3_INC_VERY_HIGH,49979
2035,SIZE_4_INC_VERY_HIGH,43368
2036,SIZE_1_INC_LOW,17537
2036,SIZE_2_INC_LOW,257
2036,SIZE_3_INC_LOW,61
2036,SIZE_4_INC_LOW,10
2036,SIZE_1_INC_MEDIUM,95803
2036,SIZE_2_INC_MEDIUM,8003
2036,SIZE_3_INC_MEDIUM,1276
2036,SIZE_4_INC_MEDIUM,294
2036,SIZE_1_INC_HIGH,25319
2036,SIZE_2_INC_HIGH,43775
2036,SIZE_3_INC_HIGH,5603
2036,SIZE_4_INC_HIGH,4005
2036,SIZE_1_INC_VERY_HIGH,1147
2036,SIZE_2_INC_VERY_HIGH,63399
2036,SIZE_3_INC_VERY_HIGH,49188
2036,SIZE_4_INC_VERY_HIGH,42367
2037,SIZE_1_INC_LOW,17908
2037,SIZE_2_INC_LOW,233
2037,SIZE_3_INC_LOW,58
2037,SIZE_4_INC_LOW,13
2037,SIZE_1_INC_MEDIUM,95512
2037,SIZE_2_INC_MEDIUM,8141
2037,SIZE_3_INC_MEDIUM,1238
2037,SIZE_4_INC_MEDIUM,300
2037,SIZE_1_INC_HIGH,25238
2037,SIZE_2_INC_HIGH,43559
2037,SIZE_3_INC_HIGH,5557
2037,SIZE_4_INC_HIGH,4048
2037,SIZE_1_INC_VERY_HIGH,1253
2037,SIZE_2_INC_VERY_HIGH,62727
2037,SIZE_3_INC_VERY_HIGH,48249
2037,SIZE_4_INC_VERY_HIGH,41498
2038,SIZE_1_INC_LOW,18069
2038,SIZE_2_INC_LOW,228
2038,SIZE_3_INC_LOW,57
2038,SIZE_4_INC_LOW,13
2038,SIZE_1_INC_MEDIUM,95280
2038,SIZE_2_INC_MEDIUM,8131
2038,SIZE_3_INC_MEDIUM,1246
2038,SIZE_4_INC_MEDIUM,304
2038,SIZE_1_INC_HIGH,25065
2038,SIZE_2_INC_HIGH,43275
2038,SIZE_3_INC_HIGH,5526
2038,SIZE_4_INC_HIGH,4004
2038,SIZE_1_INC_VERY_HIGH,1356
2038,SIZE_2_INC_VERY_HIGH,62429
