year,type,count
2034,SIZE_1_INC_MEDIUM,11806
2034,SIZE_2_INC_MEDIUM,16063
2034,SIZE_3_INC_MEDIUM,5931
2034,SIZE_4_INC_MEDIUM,3982
2034,SIZE_1_INC_HIGH,1341
2034,SIZE_2_INC_HIGH,7865
2034,SIZE_3_INC_HIGH,6346
2034,SIZE_4_INC_HIGH,5951
2034,SIZE_1_INC_VERY_HIGH,366
2034,SIZE_2_INC_VERY_HIGH,2380
2034,SIZE_3_INC_VERY_HIGH,3310
2034,SIZE_4_INC_VERY_HIGH,5126
2035,SIZE_1_INC_LOW,34149
2035,SIZE_2_INC_LOW,10015
2035,SIZE_3_INC_LOW,2188
2035,SIZE_4_INC_LOW,1081
2035,SIZE_1_INC_MEDIUM,11859
2035,SIZE_2_INC_MEDIUM,16178
2035,SIZE_3_INC_MEDIUM,6003
2035,SIZE_4_INC_MEDIUM,3982
2035,SIZE_1_INC_HIGH,1320
2035,SIZE_2_INC_HIGH,8081
2035,SIZE_3_INC_HIGH,6468
2035,SIZE_4_INC_HIGH,5925
2035,SIZE_1_INC_VERY_HIGH,366
2035,SIZE_2_INC_VERY_HIGH,2365
2035,SIZE_3_INC_VERY_HIGH,3269
2035,SIZE_4_INC_VERY_HIGH,5136
2036,SIZE_1_INC_LOW,34247
2036,SIZE_2_INC_LOW,10083
2036,SIZE_3_INC_LOW,2159
2036,SIZE_4_INC_LOW,1067
2036,SIZE_1_INC_MEDIUM,12009
2036,SIZE_2_INC_MEDIUM,16423
2036,SIZE_3_INC_MEDIUM,5977
2036,SIZE_4_INC_MEDIUM,3934
2036,SIZE_1_INC_HIGH,1254
2036,SIZE_2_INC_HIGH,8223
2036,SIZE_3_INC_HIGH,6593
2036,SIZE_4_INC_HIGH,6006
2036,SIZE_1_INC_VERY_HIGH,352
2036,SIZE_2_INC_VERY_HIGH,2352
2036,SIZE_3_INC_VERY_HIGH,3273
2036,SIZE_4_INC_VERY_HIGH,5098
2037,SIZE_1_INC_LOW,34522
2037,SIZE_2_INC_LOW,10173
2037,SIZE_3_INC_LOW,2107
2037,SIZE_4_INC_LOW,1033
2037,SIZE_1_INC_MEDIUM,12180
2037,SIZE_2_INC_MEDIUM,16512
2037,SIZE_3_INC_MEDIUM,6024
2037,SIZE_4_INC_MEDIUM,3847
2037,SIZE_1_INC_HIGH,1247
2037,SIZE_2_INC_HIGH,8355
2037,SIZE_3_INC_HIGH,6679
2037,SIZE_4_INC_HIGH,6057
2037,SIZE_1_INC_VERY_HIGH,350
2037,SIZE_2_INC_VERY_HIGH,2388
2037,SIZE_3_INC_VERY_HIGH,3319
2037,SIZE_4_INC_VERY_HIGH,5083
2038,SIZE_1_INC_LOW,34841
2038,SIZE_2_INC_LOW,10257
2038,SIZE_3_INC_LOW,2155
2038,SIZE_4_INC_LOW,989
2038,SIZE_1_INC_MEDIUM,12318
2038,SIZE_2_INC_MEDIUM,16656
2038,SIZE_3_INC_MEDIUM,6021
2038,SIZE_4_INC_MEDIUM,3790
2038,SIZE_1_INC_HIGH,1279
2038,SIZE_2_INC_HIGH,8442
2038,SIZE_3_INC_HIGH,6714
2038,SIZE_4_INC_HIGH,6095
2038,SIZE_1_INC_VERY_HIGH,352
2038,SIZE_2_INC_VERY_HIGH,2373
2038,SIZE_3_INC_VERY_HIGH,3304
2038,SIZE_4_INC_VERY_HIGH,5124
2039,SIZE_1_INC_LOW,35134
2039,SIZE_2_INC_LOW,10265
2039,SIZE_3_INC_LOW,2102
2039,SIZE_4_INC_LOW,971
2039,SIZE_1_INC_MEDIUM,12444
2039,SIZE_2_INC_MEDIUM,16748
2039,SIZE_3_INC_MEDIUM,6058
2039,SIZE_4_INC_MEDIUM,3737
2039,SIZE_1_INC_HIGH,1291
2039,SIZE_2_INC_HIGH,8602
2039,SIZE_3_INC_HIGH,6783
2039,SIZE_4_INC_HIGH,6132
2039,SIZE_1_INC_VERY_HIGH,340
2039,SIZE_2_INC_VERY_HIGH,2343
2039,SIZE_3_INC_VERY_HIGH,3371
2039,SIZE_4_INC_VERY_HIGH,5146
2040,SIZE_1_INC_LOW,35314
2040,SIZE_2_INC_LOW,10260
2040,SIZE_3_INC_LOW,2117
2040,SIZE_4_INC_LOW,961
2040,SIZE_1_INC_MEDIUM,12550
2040,SIZE_2_INC_MEDIUM,17032
2040,SIZE_3_INC_MEDIUM,6130
2040,SIZE_4_INC_MEDIUM,3668
2040,SIZE_1_INC_HIGH,1314
2040,SIZE_2_INC_HIGH,8681
2040,SIZE_3_INC_HIGH,6737
2040,SIZE_4_INC_HIGH,6197
2040,SIZE_1_INC_VERY_HIGH,324
2040,SIZE_2_INC_VERY_HIGH,2321
2040,SIZE_3_INC_VERY_HIGH,3391
2040,SIZE_4_INC_VERY_HIGH,5127
2041,SIZE_1_INC_LOW,35698
2041,SIZE_2_INC_LOW,10248
2041,SIZE_3_INC_LOW,2110
2041,SIZE_4_INC_LOW,984
2041,SIZE_1_INC_MEDIUM,12636
2041,SIZE_2_INC_MEDIUM,17079
2041,SIZE_3_INC_MEDIUM,6224
2041,SIZE_4_INC_MEDIUM,3625
2041,SIZE_1_INC_HIGH,1323
2041,SIZE_2_INC_HIGH,8827
2041,SIZE_3_INC_HIGH,6792
2041,SIZE_4_INC_HIGH,6191
2041,SIZE_1_INC_VERY_HIGH,320
2041,SIZE_2_INC_VERY_HIGH,2306
2041,SIZE_3_INC_VERY_HIGH,3461
2041,SIZE_4_INC_VERY_HIGH,5093
2042,SIZE_1_INC_LOW,35961
2042,SIZE_2_INC_LOW,10308
2042,SIZE_3_INC_LOW,2142
2042,SIZE_4_INC_LOW,972
2042,SIZE_1_INC_MEDIUM,12797
2042,SIZE_2_INC_MEDIUM,17157
2042,SIZE_3_INC_MEDIUM,6182
2042,SIZE_4_INC_MEDIUM,3592
2042,SIZE_1_INC_HIGH,1347
2042,SIZE_2_INC_HIGH,9023
2042,SIZE_3_INC_HIGH,6854
2042,SIZE_4_INC_HIGH,6221
2042,SIZE_1_INC_VERY_HIGH,306
2042,SIZE_2_INC_VERY_HIGH,2251
2042,SIZE_3_INC_VERY_HIGH,3472
2042,SIZE_4_INC_VERY_HIGH,5129
2043,SIZE_1_INC_LOW,36089
2043,SIZE_2_INC_LOW,10286
2043,SIZE_3_INC_LOW,2119
2043,SIZE_4_INC_LOW,972
2043,SIZE_1_INC_MEDIUM,13078
2043,SIZE_2_INC_MEDIUM,17408
2043,SIZE_3_INC_MEDIUM,6086
2043,SIZE_4_INC_MEDIUM,3566
2043,SIZE_1_INC_HIGH,1344
2043,SIZE_2_INC_HIGH,9046
2043,SIZE_3_INC_HIGH,6920
2043,SIZE_4_INC_HIGH,6198
2043,SIZE_1_INC_VERY_HIGH,292
2043,SIZE_2_INC_VERY_HIGH,2260
2043,SIZE_3_INC_VERY_HIGH,3480
2043,SIZE_4_INC_VERY_HIGH,5192
2044,SIZE_1_INC_LOW,36266
2044,SIZE_2_INC_LOW,10277
2044,SIZE_3_INC_LOW,2060
2044,SIZE_4_INC_LOW,955
2044,SIZE_1_INC_MEDIUM,13241
2044,SIZE_2_INC_MEDIUM,17528
2044,SIZE_3_INC_MEDIUM,6104
2044,SIZE_4_INC_MEDIUM,3610
2044,SIZE_1_INC_HIGH,1381
2044,SIZE_2_INC_HIGH,9325
2044,SIZE_3_INC_HIGH,6910
2044,SIZE_4_INC_HIGH,6203
2044,SIZE_1_INC_VERY_HIGH,288
2044,SIZE_2_INC_VERY_HIGH,2222
2044,SIZE_3_INC_VERY_HIGH,3452
2044,SIZE_4_INC_VERY_HIGH,5252
2045,SIZE_1_INC_LOW,36470
2045,SIZE_2_INC_LOW,10208
2045,SIZE_3_INC_LOW,2073
2045,SIZE_4_INC_LOW,952
2045,SIZE_1_INC_MEDIUM,13420
2045,SIZE_2_INC_MEDIUM,17678
2045,SIZE_3_INC_MEDIUM,6126
2045,SIZE_4_INC_MEDIUM,3600
2045,SIZE_1_INC_HIGH,1390
2045,SIZE_2_INC_HIGH,9382
2045,SIZE_3_INC_HIGH,6987
2045,SIZE_4_INC_HIGH,6235
2045,SIZE_1_INC_VERY_HIGH,296
2045,SIZE_2_INC_VERY_HIGH,2201
2045,SIZE_3_INC_VERY_HIGH,3473
2045,SIZE_4_INC_VERY_HIGH,5282
2046,SIZE_1_INC_LOW,36662
2046,SIZE_2_INC_LOW,10193
2046,SIZE_3_INC_LOW,2023
2046,SIZE_4_INC_LOW,972
2046,SIZE_1_INC_MEDIUM,13696
2046,SIZE_2_INC_MEDIUM,17697
2046,SIZE_3_INC_MEDIUM,6140
2046,SIZE_4_INC_MEDIUM,3647
2046,SIZE_1_INC_HIGH,1395
2046,SIZE_2_INC_HIGH,9516
2046,SIZE_3_INC_HIGH,7059
2046,SIZE_4_INC_HIGH,6211
2046,SIZE_1_INC_VERY_HIGH,288
2046,SIZE_2_INC_VERY_HIGH,2160
2046,SIZE_3_INC_VERY_HIGH,3502
2046,SIZE_4_INC_VERY_HIGH,5307
2047,SIZE_1_INC_LOW,36761
2047,SIZE_2_INC_LOW,10184
2047,SIZE_3_INC_LOW,2060
