person,household,autos,avs,homeZone,jobZone,timeCar
2906404,2128061,2,2,4600,4588,8.246966185211182
4047343,2128062,2,2,4092,3704,7.554032913574219
3172260,2128062,2,2,4092,2564,21.644154391357425
1817058,2128063,2,2,965,739,9.41818559301758
109878,2128063,2,2,965,245,62.67810900585938
5238947,2128000,1,1,3033,4252,22.247395215698244
468347,2128001,3,3,2766,1845,4.077859163787842
1365023,2128001,3,3,2766,3198,19.966457670776368
388905,2128003,2,2,496,1563,48.70856692529297
4761008,2128003,2,2,496,2424,46.291204939697266
1848676,2128004,1,1,523,596,17.924324950683594
2331053,2128004,1,1,523,1240,29.83022102282715
3379963,2128007,1,1,580,851,14.479549839111328
3687798,2128007,1,1,580,613,20.779545628173828
2762275,2128008,1,1,4144,3895,5.431781301910401
313432,2128013,3,3,1781,3892,19.75492593371582
2302199,2128013,3,3,1781,4291,24.69564974621582
821703,2128018,2,2,2607,2834,9.014354681274416
655716,2128018,2,2,2607,424,51.76351897363281
1670589,2128020,2,2,3472,3507,4.389770309112549
4759903,2128024,2,2,2867,3693,11.971369793701173
1203858,2128025,2,2,603,831,11.553527981628418
1733317,2128027,2,2,504,858,7.964638354522705
2527228,2128027,2,2,504,1198,52.53752533886719
1134710,2128101,1,1,2872,2438,24.797871435791016
4923385,2128101,1,1,2872,1572,24.764993174072266
1470950,2128102,1,1,3304,2952,5.624755945831299
4052292,2128103,2,2,2134,2233,18.989255103027347
2740090,2128103,2,2,2134,2657,49.46945860766602
4566861,2128103,2,2,2134,264,69.80566040820312
4671327,2128103,2,2,2134,2147,1.752520706451416
3129730,2128104,0,0,471,909,18.379505766357422
2212477,2128105,2,2,2824,3131,14.96254187994385
3974300,2128105,2,2,2824,2230,68.07741946386719
5147280,2128105,2,2,2824,4805,52.040233492187504
3845855,2128108,2,2,1301,2233,64.75054628710939
4045563,2128115,0,0,595,822,12.141370345336915
4647462,2128115,0,0,595,2323,89.4568753647461
3687065,2128117,1,1,3742,1954,9.70753972796631
1892640,2128118,1,1,4275,4454,11.051071440185547
3607089,2128118,1,1,4275,4847,34.00365247155762
4825284,2128118,1,1,4275,3339,16.42288094128418
3912427,2128121,3,3,3805,3446,6.337228487640381
3378806,2128124,2,2,1152,1138,7.670416059875489
4840621,2128124,2,2,1152,1520,32.75626831213379
2086990,2128124,2,2,1152,3244,33.9965173190918
2069042,2128066,3,3,234,4006,56.585579931152346
4323249,2128067,2,2,2444,2418,7.43136098590088
1371439,2128068,2,2,1924,1572,16.167895372924807
5139242,2128068,2,2,1924,2499,50.37226800463868
2305232,2128071,3,3,2934,11,91.00032257421876
3457282,2128071,3,3,2934,2677,9.085131446716309
4937330,2128071,3,3,2934,596,45.665988985107425
1210547,2128072,2,2,2950,2404,36.21644290161133
2462371,2128072,2,2,2950,3355,9.896524627380371
4854914,2128072,2,2,2950,4082,12.311035196899415
4976185,2128072,2,2,2950,4587,33.012853033569336
3326015,2128073,2,2,224,253,6.401714945800782
2855771,2128076,2,2,3170,4551,23.09198811633301
148676,2128079,2,2,2982,2609,15.312872372741701
1678657,2128084,1,1,2267,2378,13.033594
983576,2128084,1,1,2267,2674,63.11375411181641
3485103,2128087,1,1,4745,4739,8.364701287261964
1236855,2128090,2,2,3376,1928,2.8392446601409915
3932381,2128090,2,2,3376,2035,54.60052232714844
