Zone,ID_county,Area,msa,centroidX,centroidY,distanceToTransit,BBSR_Type,Region2,Region_v0,Region
5617,431413,0.102690217,1,420907.8062,3794599.342,363.9433561,10,37341,9,9
5618,431414,0.102690232,1,421483.0379,3794594.499,233.6244758,10,37341,9,9
5619,431421,0.10269523,1,422054.4218,3794127.659,882.7559767,10,37341,9,9
5620,431422,0.102695215,1,422629.6811,3794122.886,1423.064215,10,37206,6,6
5621,431423,0.102690232,1,422058.2692,3794589.691,799.0872942,10,37341,9,9
5622,431424,0.102690217,1,422633.5002,3794584.918,1356.607879,10,37206,6,6
5623,431431,0.10269523,1,423204.9402,3794118.149,1320.631823,10,37206,6,6
5624,431432,0.102695215,1,423780.1989,3794113.448,807.962726,10,37206,6,6
5625,431433,0.102690232,1,423208.7309,3794580.181,1498.973647,10,37206,6,6
5626,431434,0.102690217,1,423783.9612,3794575.479,926.276871,10,37206,6,6
5627,431441,0.10269523,1,424355.4573,3794108.781,472.7171191,10,37206,6,6
5628,431442,0.102695215,1,424930.7153,3794104.15,420.2341069,10,37206,6,6
5629,431443,0.102690232,1,424359.1911,3794570.812,361.7844493,10,37206,6,6
5630,431444,0.102690217,1,424934.4208,3794566.181,256.1587207,10,37206,6,6
5631,431451,0.10269523,1,425505.973,3794099.555,879.3084625,10,37206,6,6
5632,431452,0.102695215,1,426081.2304,3794094.995,372.0932243,10,37206,6,6
5633,431453,0.102690232,1,425509.6501,3794561.585,813.7411298,10,37206,6,6
5634,431454,0.102690217,1,426084.8791,3794557.025,765.2994171,10,37206,6,6
5635,431461,0.10269523,1,426656.4875,3794090.47,394.2388958,10,37206,6,6
5636,431462,0.102695215,1,427231.7442,3794085.98,674.147665,10,37206,6,6
5637,431463,0.102690232,1,426660.1077,3794552.5,776.3071766,10,37206,6,6
5638,431464,0.102690217,1,427235.3361,3794548.01,1108.448317,10,37206,6,6
5639,431471,0.10269523,1,427807.0006,3794081.526,468.2202614,10,37206,6,6
5640,431472,0.102695215,1,428382.2567,3794077.107,303.8941584,10,37206,6,6
5641,431473,0.102690232,1,427810.5641,3794543.555,847.9106179,10,37206,6,6
5642,431474,0.102690217,1,428385.7918,3794539.136,640.5698381,10,37206,6,6
5643,431481,0.10269523,1,428957.5125,3794072.724,130.6416031,10,37206,6,6
5644,431482,0.102695215,1,429532.768,3794068.375,108.5376967,10,37206,6,6
5645,431483,0.102690232,1,428961.0192,3794534.752,479.2758821,10,37206,6,6
5646,431484,0.102690217,1,429536.2463,3794530.404,459.0918646,10,37206,6,6
5647,431491,0.10269523,1,430108.0232,3794064.063,154.0906758,10,37206,6,6
5648,431492,0.102695215,1,430683.278,3794059.785,313.5413386,10,37206,6,6
5649,431493,0.102690232,1,430111.4731,3794526.091,514.6800309,10,37206,6,6
5650,431494,0.102690217,1,430686.6995,3794521.813,88.26329514,10,37206,6,6
5651,431501,0.102685195,1,419761.3033,3795071.169,544.5786203,10,37341,9,9
5652,431502,0.10268521,1,420336.5073,3795066.254,299.5512154,10,37341,9,9
5653,431503,0.102680218,1,419765.2653,3795533.202,876.5291818,10,37341,9,9
5654,431504,0.102680233,1,420340.4408,3795528.288,749.3184516,10,37341,9,9
5655,431511,0.102685195,1,420911.7109,3795061.375,449.4330212,10,37341,9,9
5656,431512,0.10268521,1,421486.9142,3795056.532,125.8140754,10,37341,9,9
5657,431513,0.102680218,1,420915.616,3795523.408,646.1041856,10,37341,9,9
5658,431514,0.102680233,1,421490.7909,3795518.564,480.9352465,10,37341,9,9
5659,431521,0.10268521,1,422062.1171,3795051.723,701.0222148,10,37341,9,9
5660,431522,0.102685195,1,422637.3197,3795046.95,1276.243184,10,37206,6,6
5661,431523,0.102680233,1,422065.9654,3795513.756,840.7603414,10,37341,9,9
5662,431524,0.102680218,1,422641.1396,3795508.983,1358.008126,10,37206,6,6
5663,431531,0.10268521,1,423212.5219,3795042.213,1391.076247,10,37206,6,6
5664,431532,0.102685195,1,423787.7238,3795037.51,1083.486798,10,37206,6,6
5665,431533,0.102680233,1,423216.3134,3795504.245,997.7627011,10,37206,6,6
5666,431534,0.102680218,1,423791.4869,3795499.542,786.7028195,10,37206,6,6
5667,431541,0.10268521,1,424362.9254,3795032.844,544.0018961,10,37206,6,6
5668,431542,0.102685195,1,424938.1267,3795028.212,228.7960605,10,37206,6,6
5669,431543,0.102680233,1,424366.6601,3795494.875,493.4273484,10,37206,6,6
5670,431544,0.102680218,1,424941.8329,3795490.243,204.1309986,10,37206,6,6
5671,431551,0.10268521,1,425513.3276,3795023.616,655.5792424,10,37206,6,6
5672,431552,0.102685195,1,426088.5281,3795019.055,403.4133037,10,37206,6,6
5673,431553,0.102680233,1,425517.0054,3795485.647,491.3783525,10,37206,6,6
5674,431554,0.102680218,1,426092.1776,3795481.086,83.54216653,10,37206,6,6
5675,431561,0.10268521,1,426663.7284,3795014.53,746.6086313,10,37206,6,6
5676,431562,0.102685195,1,427238.9283,3795010.04,1270.365513,10,37206,6,6
5677,431563,0.102680233,1,426667.3495,3795476.56,633.752414,10,37206,6,6
5678,431564,0.102680218,1,427242.521,3795472.07,1207.474309,10,37206,6,6
5679,431571,0.10268521,1,427814.128,3795005.585,1267.619941,10,37206,6,6
5680,431572,0.102685195,1,428389.3273,3795001.166,1024.659041,10,37206,6,6
5681,431573,0.102680233,1,427817.6922,3795467.615,982.276789,10,37206,6,6
5682,431574,0.102680218,1,428392.8631,3795463.195,886.7068207,10,37206,6,6
5683,431581,0.10268521,1,428964.5263,3794996.782,932.3679935,10,37206,6,6
5684,431582,0.102685195,1,429539.7249,3794992.433,914.7217759,10,37206,6,6
5685,431583,0.102680233,1,428968.0337,3795458.811,888.881365,10,37206,6,6
5686,431584,0.102680218,1,429543.2039,3795454.462,658.5021599,10,37206,6,6
5687,431591,0.10268521,1,430114.9233,3794988.12,542.8141201,10,37206,6,6
5688,431592,0.102685195,1,430690.1214,3794983.842,206.7106456,10,37206,6,6
5689,431593,0.102680233,1,430118.3739,3795450.149,472.5345403,10,37206,6,6
5690,431594,0.102680218,1,430693.5436,3795445.871,108.811179,10,37206,6,6
5691,431601,0.102675217,1,419769.2276,3795995.237,1291.132492,10,37341,9,9
5692,431602,0.102675232,1,420344.3748,3795990.322,1208.39027,10,37341,9,9
5693,431603,0.102670194,1,419773.1904,3796457.271,1729.949612,10,37341,9,9
5694,431604,0.102670209,1,420348.3091,3796452.356,1669.107038,10,37341,9,9
5695,431611,0.102675217,1,420919.5216,3795985.442,1029.510204,10,37341,9,9
5696,431612,0.102675232,1,421494.668,3795980.598,934.7447936,10,37341,9,9
5697,431613,0.102670194,1,420923.4275,3796447.476,1459.216465,10,37341,9,9
5698,431614,0.102670209,1,421498.5455,3796442.631,1393.978931,10,37341,9,9
5699,431621,0.102675232,1,422069.8141,3795975.789,1161.594968,10,37341,9,9
5700,431622,0.102675217,1,422644.9599,3795971.015,1233.352929,10,37341,9,9
5701,431623,0.102670209,1,422073.6633,3796437.822,1555.219478,10,37341,9,9
5702,431624,0.102670194,1,422648.7806,3796433.048,1198.12222,10,37206,6,6
5703,431631,0.102675232,1,423220.1053,3795966.277,694.9409698,10,37206,6,6
5704,431632,0.102675217,1,423795.2504,3795961.574,326.0874525,10,37206,6,6
5705,431633,0.102670209,1,423223.8976,3796428.31,630.3425512,10,37206,6,6
5706,431634,0.102670194,1,423799.0143,3796423.607,144.0156317,10,37206,6,6
5707,431641,0.102675232,1,424370.3952,3795956.907,328.5818903,10,37206,6,6
5708,431642,0.102675217,1,424945.5396,3795952.275,312.3332927,10,37206,6,6
5709,431643,0.102670209,1,424374.1306,3796418.939,304.4871026,10,37206,6,6
5710,431644,0.102670194,1,424949.2466,3796414.307,413.3802513,10,37206,6,6
5711,431651,0.102675232,1,425520.6837,3795947.678,82.91790759,10,37206,6,6
5712,431652,0.102675217,1,426095.8274,3795943.117,527.4354424,10,37206,6,6
5713,431653,0.102670209,1,425524.3623,3796409.71,133.521803,10,37206,6,6
5714,431654,0.102670194,1,426099.4777,3796405.148,589.3584997,10,37206,6,6
5715,431661,0.102675232,1,426670.9709,3795938.591,820.2628851,10,37206,6,6
5716,431662,0.102675217,1,427246.114,3795934.1,1099.235036,10,37206,6,6
5717,431663,0.102670209,1,426674.5927,3796400.622,996.9459289,10,37206,6,6
5718,431664,0.102670194,1,427249.7074,3796396.131,983.0801936,10,37206,6,6
5719,431671,0.102675232,1,427821.2568,3795929.645,606.7286789,10,37206,6,6
5720,431672,0.102675217,1,428396.3993,3795925.225,435.32794,10,37206,6,6
5721,431673,0.102670209,1,427824.8218,3796391.676,445.3547145,10,37206,6,6
5722,431674,0.102670194,1,428399.9359,3796387.256,140.5010407,10,37206,6,6
5723,431681,0.102675232,1,428971.5415,3795920.841,435.8640446,10,37206,6,6
5724,431682,0.102675217,1,429546.6833,3795916.492,267.5504491,10,37206,6,6
5725,431683,0.102670209,1,428975.0497,3796382.871,129.6629885,10,37206,6,6
5726,431684,0.102670194,1,429550.1631,3796378.522,369.4702192,10,37206,6,6
5727,431691,0.102675232,1,430121.8249,3795912.178,395.4375313,10,37206,6,6
5728,431692,0.102675217,1,430696.9661,3795907.9,303.4358674,10,37206,6,6
5729,431693,0.102670209,1,430125.2762,3796374.208,470.4163993,10,37206,6,6
5730,431701,0.102665215,1,419777.1536,3796919.305,1942.037638,10,37341,9,9
5731,431702,0.10266523,1,420352.2439,3796914.39,2115.060049,10,37341,9,9
5732,431703,0.102660213,1,419781.1172,3797381.34,1896.296705,10,37201,1,15
5733,431704,0.102660228,1,420356.1791,3797376.425,2013.660785,10,37201,1,15
5734,431711,0.102665215,1,420927.3339,3796909.51,1904.131251,10,37341,9,9
5735,431712,0.10266523,1,421502.4235,3796904.665,1854.612604,10,37341,9,9
5736,431713,0.102660213,1,420931.2407,3797371.544,1826.295397,10,37201,1,15
5737,431714,0.102660228,1,421506.3019,3797366.699,1710.801196,10,37201,1,15
5738,431721,0.10266523,1,422077.5128,3796899.856,1616.244165,10,37341,9,9
5739,431722,0.102665215,1,422652.6017,3796895.081,1235.807423,10,37206,6,6
5740,431723,0.102660228,1,422081.3628,3797361.889,1362.987486,10,37201,1,15
5741,431724,0.102660213,1,422656.4233,3797357.115,879.0700281,10,37206,6,6
5742,431731,0.10266523,1,423227.6903,3796890.343,859.47515,10,37206,6,6
5743,431732,0.102665215,1,423802.7786,3796885.639,464.0889352,10,37206,6,6
5744,431733,0.102660228,1,423231.4834,3797352.376,590.9203058,10,37206,6,6
5745,431734,0.102660213,1,423806.5433,3797347.673,346.6558033,10,37206,6,6
5746,431741,0.10266523,1,424377.8665,3796880.972,205.5661576,10,37206,6,6
5747,431742,0.102665215,1,424952.9541,3796876.339,133.5521284,10,37206,6,6
5748,431743,0.102660228,1,424381.6028,3797343.004,196.8084536,10,37206,6,6
5749,431744,0.102660213,1,424956.662,3797338.371,121.941398,10,37206,6,6
5750,431751,0.10266523,1,425528.0414,3796871.742,424.3046427,10,37206,6,6
5751,431752,0.102665215,1,426103.1283,3796867.18,638.4285526,10,37206,6,6
5752,431753,0.102660228,1,425531.7208,3797333.774,164.0056458,10,37206,6,6
5753,431754,0.102660213,1,426106.7793,3797329.212,380.9216197,10,37206,6,6
5754,431761,0.10266523,1,426678.2149,3796862.653,551.7648395,10,37206,6,6
5755,431762,0.102665215,1,427253.3012,3796858.162,730.8023429,10,37206,6,6
5756,431763,0.102660228,1,426681.8375,3797324.685,204.841578,10,37206,6,6
5757,431764,0.102660213,1,427256.8954,3797320.194,287.2622567,10,37206,6,6
5758,431771,0.10266523,1,427828.3872,3796853.707,253.1489161,10,37206,6,6
5759,431772,0.102665215,1,428403.4729,3796849.286,478.5310219,10,37206,6,6
5760,431773,0.102660228,1,427831.953,3797315.738,261.4504716,10,37206,6,6
5761,431774,0.102660213,1,428407.0102,3797311.317,500.181649,10,37206,6,6
5762,431781,0.10266523,1,428978.5582,3796844.901,520.2075872,10,37206,6,6
5763,431782,0.102665215,1,429553.6432,3796840.552,678.9209426,10,37206,6,6
5764,431783,0.102660228,1,428982.0671,3797306.932,975.3915913,10,37206,6,6
5765,431784,0.102660213,1,429557.1238,3797302.582,1068.501934,10,37206,6,6
5766,431791,0.10266523,1,430128.728,3796836.237,844.4995948,10,37206,6,6
5767,431792,0.102665215,1,430703.8124,3796831.959,866.3121804,10,37206,6,6
5768,431793,0.102660228,1,430132.1801,3797298.268,1277.51155,10,37206,6,6
5769,431794,0.102660213,1,430707.2361,3797293.989,1231.096655,10,37206,6,6
5770,431801,0.102655189,1,419785.0813,3797843.376,1773.141888,10,37201,1,15
5771,431802,0.102655203,1,420360.1148,3797838.46,1591.716109,10,37201,1,15
5772,431803,0.102650208,1,419789.0458,3798305.411,1322.298317,10,37201,1,15
5773,431804,0.102650222,1,420364.0508,3798300.495,1160.127208,10,37201,1,15
5774,431811,0.102655189,1,420935.1479,3797833.579,1374.891663,10,37201,1,15
5775,431812,0.102655203,1,421510.1807,3797828.734,1261.133088,10,37201,1,15
5776,431813,0.102650208,1,420939.0555,3798295.614,933.9599111,10,37201,1,15
5777,431814,0.102650222,1,421514.0599,3798290.768,825.2596826,10,37201,1,15
5778,431821,0.102655203,1,422085.2131,3797823.924,1075.60052,10,37201,1,15
5779,431822,0.102655189,1,422660.2452,3797819.149,667.2982582,10,37201,1,15
5780,431823,0.102650222,1,422089.0639,3798285.958,789.60659,10,37201,1,15
5781,431824,0.102650208,1,422664.0676,3798281.183,354.8293949,10,37201,1,15
5782,431831,0.102655203,1,423235.277,3797814.41,147.4142081,10,37206,6,6
5783,431832,0.102655189,1,423810.3084,3797809.706,247.8345867,10,37206,6,6
5784,431833,0.102650222,1,423239.0709,3798276.444,348.2156046,10,37206,6,6
5785,431834,0.102650208,1,423814.0739,3798271.74,571.8679674,10,37206,6,6
5786,431841,0.102655203,1,424385.3395,3797805.037,338.4547554,10,37206,6,6
5787,431842,0.102655189,1,424960.3702,3797800.404,442.900384,10,37206,6,6
5788,431843,0.102650222,1,424389.0765,3798267.071,616.5709201,10,37206,6,6
5789,431844,0.102650208,1,424964.0789,3798262.437,488.3954025,10,37206,6,6
5790,431851,0.102655203,1,425535.4006,3797795.807,253.2074411,10,37206,6,6
5791,431852,0.102655189,1,426110.4307,3797791.244,435.6019362,10,37206,6,6
5792,431853,0.102650222,1,425539.0809,3798257.839,141.0134945,10,37206,6,6
5793,431854,0.102650208,1,426114.0825,3798253.277,72.94191992,10,37206,6,6
5794,431861,0.102655203,1,426685.4605,3797786.717,454.3666011,10,37206,6,6
5795,431862,0.102655189,1,427260.49,3797782.226,240.7056385,10,37206,6,6
5796,431863,0.102650222,1,426689.0839,3798248.75,537.6864278,10,37206,6,6
5797,431864,0.102650208,1,427264.0849,3798244.258,203.49997,10,37206,6,6
5798,431871,0.102655203,1,427835.5191,3797777.769,311.9637418,10,37206,6,6
5799,431872,0.102655189,1,428410.5479,3797773.349,788.7424924,10,37206,6,6
5800,431873,0.102650222,1,427839.0856,3798239.801,216.0764784,10,37206,6,6
5801,431874,0.102650208,1,428414.086,3798235.38,459.7968129,10,37206,6,6
5802,431881,0.102655203,1,428985.5764,3797768.963,1128.170346,10,37206,6,6
5803,431882,0.102655189,1,429560.6046,3797764.613,1317.492849,10,37206,6,6
5804,431883,0.102650222,1,428989.0861,3798230.994,690.1365508,10,37206,6,6
5805,431884,0.102650208,1,429564.0859,3798226.644,862.977079,10,37206,6,6
5806,431891,0.102655203,1,430135.6325,3797760.298,1296.076812,10,37206,6,6
5807,431892,0.102655189,1,430710.6601,3797756.019,1312.50265,10,37206,6,6
5808,431893,0.102650222,1,430139.0854,3798222.329,836.647877,10,37206,6,6
5809,431894,0.102650208,1,430714.0845,3798218.049,850.5783012,10,37206,6,6
5810,431901,0.102645204,1,419793.0107,3798767.447,883.1185468,10,37201,1,15
5811,431902,0.102645219,1,420367.9873,3798762.531,764.9924555,10,37201,1,15
5812,431903,0.1026402,1,419796.976,3799229.483,488.1698217,10,37201,1,1
5813,431904,0.102640215,1,420371.9242,3799224.566,501.5138457,10,37201,1,15
5814,431911,0.102645204,1,420942.9636,3798757.649,530.2997184,10,37201,1,15
5815,431912,0.102645219,1,421517.9395,3798752.803,445.6817239,10,37201,1,15
5816,431913,0.1026402,1,420946.872,3799219.685,158.51469,10,37201,1,15
5817,431914,0.102640215,1,421521.8195,3799214.839,242.879086,10,37201,1,15
5818,431921,0.102645219,1,422092.9151,3798747.993,375.5803553,10,37201,1,15
5819,431922,0.102645204,1,422667.8903,3798743.218,233.3346519,10,37201,1,15
5820,431923,0.102640215,1,422096.7667,3799210.028,284.0515288,10,37201,1,15
5821,431924,0.1026402,1,422671.7135,3799205.253,291.4018289,10,37201,1,15
5822,431942,0.102645204,1,424967.7879,3798724.471,841.3538465,10,37206,6,6
5823,431944,0.1026402,1,424971.4974,3799186.505,1031.085609,10,37206,6,6
5824,431951,0.102645219,1,425542.7615,3798719.873,307.2070237,10,37206,6,6
5825,431952,0.102645204,1,426117.7347,3798715.31,299.4513527,10,37206,6,6
5826,431953,0.102640215,1,425546.4425,3799181.906,630.2595419,10,37206,6,6
5827,431954,0.1026402,1,426121.3873,3799177.343,423.3050606,10,37206,6,6
5828,431961,0.102645219,1,426692.7077,3798710.782,536.874714,10,37206,6,6
5829,431962,0.102645204,1,427267.6803,3798706.29,657.4309423,10,37206,6,6
5830,431963,0.102640215,1,426696.3318,3799172.815,163.3616329,10,37206,6,6
5831,431964,0.1026402,1,427271.276,3799168.323,518.0964465,10,37206,6,6
5832,431971,0.102645219,1,427842.6526,3798701.833,413.3205216,10,37206,6,6
5833,431972,0.102645204,1,428417.6245,3798697.412,166.0447712,10,37206,6,6
5834,431973,0.102640215,1,427846.2198,3799163.866,643.3950877,10,37206,6,6
5835,431974,0.1026402,1,428421.1634,3799159.444,416.072006,10,37206,6,6
5836,431981,0.102645219,1,428992.5962,3798693.026,258.0840293,10,37206,6,6
5837,431982,0.102645204,1,429567.5675,3798688.675,405.5963021,10,37206,6,6
5838,431983,0.102640215,1,428996.1066,3799155.058,259.0771853,10,37206,6,6
5839,431984,0.1026402,1,429571.0495,3799150.707,106.1022963,10,37206,6,6
5840,431991,0.102645219,1,430142.5386,3798684.36,383.5529264,10,37206,6,6
5841,431992,0.102645204,1,430717.5093,3798680.08,388.9362094,10,37206,6,6
5842,431993,0.102640215,1,430145.9921,3799146.392,145.6558564,10,37206,6,6
5843,431994,0.1026402,1,430720.9344,3799142.112,77.64011957,10,37206,6,6
5844,432001,0.1027352,1,431231.4011,3790359.331,109.684105,10,37206,6,6
5845,432002,0.102735185,1,431806.8825,3790355.127,620.0054528,10,37206,6,6
5846,432003,0.102730183,1,431234.7913,3790821.357,159.8600044,10,37206,6,6
5847,432004,0.102730169,1,431810.2443,3790817.152,454.8402595,10,37206,6,6
5848,432011,0.1027352,1,432382.3635,3790350.957,793.1391244,10,37206,6,6
5849,432012,0.102735185,1,432957.8443,3790346.823,1185.312848,10,37206,6,6
5850,432013,0.102730183,1,432385.6969,3790812.982,953.9130086,10,37206,6,6
5851,432014,0.102730169,1,432961.1493,3790808.848,1502.829131,10,37206,6,6
5852,432021,0.1027352,1,433533.3247,3790342.724,1017.862241,10,37207,7,7
5853,432022,0.102735185,1,434108.8049,3790338.661,780.0571723,10,37207,7,7
5854,432023,0.102730184,1,433536.6014,3790804.749,1200.645524,10,37207,7,7
5855,432024,0.102730169,1,434112.0531,3790800.685,852.4743693,10,37207,7,7
5856,432031,0.1027352,1,434684.2847,3790334.633,709.8164438,10,37207,7,7
5857,432032,0.102735185,1,435259.7643,3790330.64,702.493803,10,37207,7,7
5858,432033,0.102730183,1,434687.5046,3790796.657,821.061658,10,37207,7,7
5859,432034,0.102730169,1,435262.9558,3790792.664,1133.065273,10,37207,7,7
5860,432041,0.1027352,1,435835.2436,3790326.683,466.4200244,10,37207,7,7
5861,432042,0.102735185,1,436410.7226,3790322.761,628.5133955,10,37207,7,7
5862,432043,0.102730183,1,435838.4068,3790788.706,918.6832634,10,37207,7,7
