year,type,count
2031,SIZE_4_INC_VERY_HIGH,1369108
2032,SIZE_1_INC_LOW,580843
2032,SIZE_2_INC_LOW,112147
2032,SIZE_3_INC_LOW,14245
2032,SIZE_4_INC_LOW,4518
2032,SIZE_1_INC_MEDIUM,796382
2032,SIZE_2_INC_MEDIUM,312149
2032,SIZE_3_INC_MEDIUM,51657
2032,SIZE_4_INC_MEDIUM,21347
2032,SIZE_1_INC_HIGH,732724
2032,SIZE_2_INC_HIGH,492534
2032,SIZE_3_INC_HIGH,135104
2032,SIZE_4_INC_HIGH,67669
2032,SIZE_1_INC_VERY_HIGH,253434
2032,SIZE_2_INC_VERY_HIGH,1379316
2032,SIZE_3_INC_VERY_HIGH,1232071
2032,SIZE_4_INC_VERY_HIGH,1367208
2033,SIZE_1_INC_LOW,604670
2033,SIZE_2_INC_LOW,114823
2033,SIZE_3_INC_LOW,13460
2033,SIZE_4_INC_LOW,3923
2033,SIZE_1_INC_MEDIUM,822230
2033,SIZE_2_INC_MEDIUM,318041
2033,SIZE_3_INC_MEDIUM,49391
2033,SIZE_4_INC_MEDIUM,18596
2033,SIZE_1_INC_HIGH,761881
2033,SIZE_2_INC_HIGH,505245
2033,SIZE_3_INC_HIGH,132669
2033,SIZE_4_INC_HIGH,62237
2033,SIZE_1_INC_VERY_HIGH,256433
2033,SIZE_2_INC_VERY_HIGH,1417561
2033,SIZE_3_INC_VERY_HIGH,1248025
2033,SIZE_4_INC_VERY_HIGH,1366504
2034,SIZE_1_INC_LOW,628876
2034,SIZE_2_INC_LOW,117258
2034,SIZE_3_INC_LOW,12763
2034,SIZE_4_INC_LOW,3400
2034,SIZE_1_INC_MEDIUM,847824
2034,SIZE_2_INC_MEDIUM,324247
2034,SIZE_3_INC_MEDIUM,47138
2034,SIZE_4_INC_MEDIUM,16163
2034,SIZE_1_INC_HIGH,791202
2034,SIZE_2_INC_HIGH,517857
2034,SIZE_3_INC_HIGH,129716
2034,SIZE_4_INC_HIGH,56609
2034,SIZE_1_INC_VERY_HIGH,259410
2034,SIZE_2_INC_VERY_HIGH,1455187
2034,SIZE_3_INC_VERY_HIGH,1264609
2034,SIZE_4_INC_VERY_HIGH,1365701
2035,SIZE_1_INC_LOW,654296
2035,SIZE_2_INC_LOW,119732
2035,SIZE_3_INC_LOW,12020
2035,SIZE_4_INC_LOW,2976
2035,SIZE_1_INC_MEDIUM,874262
2035,SIZE_2_INC_MEDIUM,330671
2035,SIZE_3_INC_MEDIUM,44908
2035,SIZE_4_INC_MEDIUM,13802
2035,SIZE_1_INC_HIGH,818784
2035,SIZE_2_INC_HIGH,530796
2035,SIZE_3_INC_HIGH,127190
2035,SIZE_4_INC_HIGH,51471
2035,SIZE_1_INC_VERY_HIGH,262176
2035,SIZE_2_INC_VERY_HIGH,1491164
2035,SIZE_3_INC_VERY_HIGH,1281652
2035,SIZE_4_INC_VERY_HIGH,1364727
2036,SIZE_1_INC_LOW,678728
2036,SIZE_2_INC_LOW,122141
2036,SIZE_3_INC_LOW,11380
2036,SIZE_4_INC_LOW,2580
2036,SIZE_1_INC_MEDIUM,900673
2036,SIZE_2_INC_MEDIUM,336766
2036,SIZE_3_INC_MEDIUM,42978
2036,SIZE_4_INC_MEDIUM,12152
2036,SIZE_1_INC_HIGH,846073
2036,SIZE_2_INC_HIGH,543550
2036,SIZE_3_INC_HIGH,124977
2036,SIZE_4_INC_HIGH,46330
2036,SIZE_1_INC_VERY_HIGH,265249
2036,SIZE_2_INC_VERY_HIGH,1526934
2036,SIZE_3_INC_VERY_HIGH,1297786
2036,SIZE_4_INC_VERY_HIGH,1363720
2037,SIZE_1_INC_LOW,703626
2037,SIZE_2_INC_LOW,124204
2037,SIZE_3_INC_LOW,10706
2037,SIZE_4_INC_LOW,2293
2037,SIZE_1_INC_MEDIUM,926429
