year,region,vacants
2016,545,5563
2016,546,5332
2016,547,4894
2016,548,4787
2016,549,4566
2016,550,4916
2016,551,3561
2016,552,5018
2016,553,5578
2016,554,6551
2016,555,10467
2016,556,13093
2016,557,10891
2016,558,14133
2016,559,13353
2016,560,14440
2016,561,12658
2016,562,20977
2016,563,18489
2016,564,17088
2016,565,17403
2016,566,16712
2016,567,12038
2016,568,16299
2016,569,13279
2016,570,17376
2016,571,22252
2016,572,19076
2016,573,21823
2016,574,14151
2016,575,8014
2016,576,13641
2016,577,13728
2016,578,17138
2016,579,14439
2016,580,20573
2016,581,10443
2016,582,6786
2016,583,8174
2016,584,14259
2016,585,6793
2016,586,8362
2016,587,8679
2016,588,11174
2016,589,9812
2016,590,11893
2016,591,3915
2016,592,3783
2016,593,3347
2016,594,3251
2016,595,2814
2016,596,2401
2016,597,2617
2016,598,2063
2016,599,7498
2016,600,2767
2016,601,1766
2016,602,2108
2016,603,8763
2016,604,2911
2016,605,1070
2016,606,972
2016,607,501
2016,614,334
2016,615,466
2016,626,1235
2016,627,1541
2016,628,1540
2016,629,1290
2016,630,378
2016,631,391
2016,632,732
2016,633,410
2016,634,444
2016,636,290
2016,637,447
2016,641,210
2016,651,1562
2016,652,1352
2016,653,1329
2016,654,2360
2016,655,2118
2016,656,1544
2016,657,1204
2016,658,1590
2016,659,2323
2016,660,1172
2016,661,1107
2016,662,1692
2016,663,1368
2016,664,2401
2016,665,2846
2016,666,1275
2016,667,1005
2016,668,2465
2016,669,6326
2016,670,970
2016,671,2641
2016,672,3128
2016,673,859
2016,674,924
2016,675,910
2016,676,448
2016,688,839
2016,689,1136
2016,690,1992
2016,691,3838
2016,692,3032
2016,693,3729
2016,694,4557
2016,695,3830
2016,696,974
2016,697,303
2016,698,581
2016,699,3835
2016,701,829
2016,702,727
2016,703,649
2016,704,194
2016,730,9250
2016,731,1527
2016,732,1607
2016,733,6395
2016,734,2139
2016,735,1170
2016,736,1976
2016,737,7714
2016,738,5486
2016,739,3535
2016,740,3557
2016,741,1242
2016,742,3557
2016,743,3501
2016,744,2345
2016,745,2873
2016,746,867
2016,748,1793
2016,749,174
2016,752,1095
2016,753,1416
2016,754,538
2016,759,563
2016,765,566
2016,766,505
2016,769,424
2016,770,463
2016,771,806
2016,774,130
2016,775,204
2016,790,1513
2016,817,215
2016,820,716
2016,828,506
2016,832,1146
2016,833,482
2016,834,314
2016,835,406
2016,836,668
2016,839,165
2016,840,170
2016,841,409
2016,857,1794
2016,858,4043
2016,859,1417
2016,860,3773
2016,861,12187
2016,862,13251
2016,863,18715
2016,864,6813
