year,event,count
2040,RenovationEvent,9431589
2040,MarriageEvent,121731
2040,EmploymentEvent,391602
2040,MigrationEvent,148560
2040,DivorceEvent,37206
2040,LicenseEvent,153123
2041,BirthEvent,114001
2041,DeathEvent,273558
2041,MoveEvent,426719
2041,LeaveParentsEvent,52904
2041,DemolitionEvent,6066
2041,BirthDayEvent,19144321
2041,ConstructionEvent,187504
2041,RenovationEvent,9615912
2041,MarriageEvent,122247
2041,EmploymentEvent,391681
2041,MigrationEvent,154807
2041,DivorceEvent,37120
2041,LicenseEvent,151186
2042,BirthEvent,114283
2042,DeathEvent,284724
2042,MoveEvent,444730
2042,LeaveParentsEvent,51984
2042,DemolitionEvent,6030
2042,BirthDayEvent,19321795
2042,ConstructionEvent,197451
2042,RenovationEvent,9797421
2042,MarriageEvent,121700
2042,EmploymentEvent,394189
2042,MigrationEvent,161916
2042,DivorceEvent,37233
2042,LicenseEvent,149906
2043,BirthEvent,114410
2043,DeathEvent,296754
2043,MoveEvent,462146
2043,LeaveParentsEvent,52112
2043,DemolitionEvent,6091
2043,BirthDayEvent,19501242
2043,ConstructionEvent,198649
2043,RenovationEvent,9988792
2043,MarriageEvent,121817
2043,EmploymentEvent,397225
2043,MigrationEvent,168301
2043,DivorceEvent,37576
2043,LicenseEvent,148725
2044,BirthEvent,114460
2044,DeathEvent,308351
2044,MoveEvent,481438
2044,LeaveParentsEvent,51756
2044,DemolitionEvent,6108
2044,BirthDayEvent,19682648
2044,ConstructionEvent,201837
2044,RenovationEvent,10181396
2044,MarriageEvent,122354
2044,EmploymentEvent,403604
2044,MigrationEvent,175846
2044,DivorceEvent,37780
2044,LicenseEvent,148777
2045,BirthEvent,114124
2045,DeathEvent,321217
2045,MoveEvent,500232
2045,LeaveParentsEvent,51004
2045,DemolitionEvent,5968
2045,BirthDayEvent,19864189
2045,ConstructionEvent,204172
2045,RenovationEvent,10377126
2045,MarriageEvent,121728
2045,EmploymentEvent,406524
2045,MigrationEvent,183191
2045,DivorceEvent,37696
2045,LicenseEvent,146954
2046,BirthEvent,113313
2046,DeathEvent,331430
2046,MoveEvent,520813
2046,LeaveParentsEvent,51176
2046,DemolitionEvent,6108
2046,BirthDayEvent,20049071
2046,ConstructionEvent,206500
2046,RenovationEvent,10575206
2046,MarriageEvent,121307
2046,EmploymentEvent,409744
2046,MigrationEvent,191341
2046,DivorceEvent,38043
2046,LicenseEvent,146113
2047,BirthEvent,112875
2047,DeathEvent,344565
2047,MoveEvent,546721
2047,DemolitionEvent,6337
2047,LeaveParentsEvent,51038
2047,BirthDayEvent,20235668
2047,ConstructionEvent,212193
2047,RenovationEvent,10775536
2047,MarriageEvent,121548
2047,EmploymentEvent,415793
2047,MigrationEvent,198389
2047,DivorceEvent,37870
2047,LicenseEvent,145755
2048,BirthEvent,111694
2048,DeathEvent,355589
2048,MoveEvent,568311
2048,LeaveParentsEvent,50771
2048,DemolitionEvent,6441
2048,BirthDayEvent,20423289
2048,ConstructionEvent,209637
