Zone,Area,Region,SUB_SECT
574,0.091,574,5
575,0.062,575,6
576,0.106,576,6
577,0.291,577,5
578,0.127,578,6
579,0.083,579,1
580,0.12,580,1
581,0.11,581,1
582,0.125,582,3
583,0.081,583,3
584,0.161,584,3
585,0.106,585,3
586,0.154,586,3
587,0.163,587,3
588,0.225,588,3
589,0.157,589,3
590,0.118,590,3
591,0.093,591,3
592,0.458,592,16
593,0.329,593,16
594,0.147,594,16
595,0.158,595,16
596,0.305,596,16
597,0.566,597,16
598,0.32,598,16
599,0.33,599,16
600,0.131,600,8
601,0.115,601,4
602,0.17,602,8
603,0.216,603,4
604,1.1,604,4
605,0.606,605,18
606,0.539,606,14
607,0.747,607,14
608,1.101,608,14
609,1.907,609,15
610,3.644,610,21
611,8.998,611,21
612,3.288,612,26
613,6.967,613,21
614,6.874,614,21
615,2.355,615,14
616,2.954,616,15
626,1.593,626,10
627,0.543,627,10
628,0.554,628,10
629,0.49,629,10
630,0.742,630,10
631,0.634,631,10
632,1.452,632,10
633,0.673,633,10
634,0.719,634,10
635,1.286,635,10
636,0.602,636,10
637,1.137,637,10
638,1.037,638,10
639,1.609,639,11
640,2.163,640,11
641,1.639,641,11
642,1.46,642,11
643,0.551,643,12
644,0.423,644,12
645,1.49,645,12
646,0.98,646,12
647,0.962,647,12
648,1.043,648,12
649,3.339,649,12
650,3.159,650,12
651,1.235,651,12
652,2.333,652,25
653,1.917,653,25
654,1.726,654,25
655,4.923,655,25
656,2.311,656,25
657,2.037,657,25
658,4.599,658,25
659,4.624,659,25
660,0.256,660,25
661,0.764,661,25
662,1.505,662,25
663,1.581,663,25
664,1.527,664,25
665,10.924,665,25
666,3.97,666,25
667,1.673,667,25
668,3.348,668,25
669,23.957,669,25
670,19.554,670,25
671,3.233,671,30
672,3.584,672,30
673,1.594,673,30
674,2.473,674,30
675,3.141,675,30
676,2.133,676,30
677,1.721,677,30
678,5.004,678,31
679,1.979,679,31
680,4.124,680,32
681,1.987,681,32
682,3.565,682,32
683,2.969,683,32
684,2.533,684,32
685,1.332,685,32
686,2.038,686,32
687,2.111,687,32
688,1.431,688,32
689,4.15,689,25
690,4.656,690,25
691,3.587,691,25
692,3.894,692,25
693,4.123,693,25
694,4.939,694,25
695,3.422,695,25
696,3.363,696,25
697,7.791,697,26
698,5.234,698,26
699,4.85,699,26
700,4.908,700,26
701,11.299,701,26
702,5.272,702,26
703,4.24,703,26
704,9.459,704,26
705,17.132,705,26
706,14.904,706,33
707,13.853,707,33
708,7.866,708,33
709,8.041,709,33
710,4.461,710,33
711,5.646,711,33
712,6.979,712,33
713,12.063,713,33
714,2.306,714,11
715,7.883,715,12
716,3.181,716,12
717,12.21,717,19
718,14.6,718,33
719,15.383,719,33
720,22.5,720,33
721,14.178,721,33
722,14.264,722,33
723,15.265,723,33
724,9.638,724,19
725,9.017,725,19
726,13.569,726,19
727,18.123,727,33
728,45.1,728,33
729,32.517,729,33
730,46.047,730,33
731,0.492,731,5
732,0.492,732,5
733,0.492,733,5
734,0.524,734,5
735,0.524,735,5
736,0.524,736,5
737,1.263,737,5
738,1.263,738,5
739,1.263,739,5
740,1.263,740,5
741,1.263,741,5
742,1.263,742,5
743,1.263,743,5
744,1.263,744,5
745,0.083,745,18
746,0.198,746,18
747,0.289,747,18
748,0.448,748,18
749,0.025,749,18
750,0.018,750,18
751,0.039,751,18
752,0.028,752,18
753,0.022,753,18
754,0.019,754,18
755,0.014,755,18
756,0.024,756,18
757,0.035,757,18
758,0.015,758,18
759,0.008,759,18
760,0.006,760,18
761,0.011,761,18
762,0.015,762,18
763,0.009,763,18
764,0.012,764,18
765,0.01,765,18
766,0.02,766,18
767,0.019,767,18
768,0.017,768,18
769,1.689,769,30
770,2.541,770,30
771,3.29,771,30
772,2.452,772,30
773,1.792,773,30
774,1.882,774,30
775,1.302,775,30
776,1.48,776,30
777,0.934,777,30
778,1.256,778,30
779,1.936,779,30
780,1.374,780,30
781,1.97,781,30
782,2.41,782,30
783,2.332,783,30
784,1.348,784,30
785,1.475,785,30
786,3.061,786,30
787,5.61,787,30
788,3.657,788,30
789,3.373,789,30
790,1.361,790,11
791,1.25,791,11
792,1.775,792,11
793,2.125,793,11
794,2.195,794,11
795,2.408,795,12
796,1.031,796,12
797,5.172,797,12
798,2.906,798,13
799,1.887,799,26
800,4.324,800,13
801,2.624,801,13
802,1.27,802,13
803,7.22,803,19
804,12.29,804,19
805,4.157,805,19
806,6.646,806,19
807,32.94,807,19
808,3.104,808,19
809,1.593,809,13
810,2.563,810,13
811,1.178,811,12
812,1.995,812,13
813,1.113,813,13
814,1.588,814,13
815,1.647,815,13
816,1.743,816,13
817,2.474,817,13
818,6.143,818,15
819,1.067,819,13
820,1.586,820,26
821,0.711,821,13
822,0.975,822,13
823,1.758,823,13
824,1.154,824,13
825,2.982,825,13
826,2.689,826,13
827,4.601,827,13
828,5.612,828,15
829,2.216,829,15
830,4.558,830,15
831,1.189,831,15
832,2.888,832,15
833,1.603,833,15
834,3.671,834,26
835,3.232,835,26
836,6.824,836,26
837,2.528,837,26
838,12.134,838,26
839,6.283,839,26
840,1.52,840,26
841,1.55,841,26
842,4.787,842,15
843,3.149,843,19
844,17,844,33
845,13.75,845,33
846,22.26,846,33
847,10.19,847,33
848,15.62,848,33
849,9.721,849,33
850,9.274,850,33
851,19.6,851,33
852,22.68,852,33
853,27.17,853,33
854,37.58,854,33
855,21.04,855,33
856,21.51,856,33
857,19.76,857,33
858,4.779,858,23
859,3.68,859,23
860,20.45,860,37
861,20.78,861,37
862,16.38,862,37
863,17.73,863,37
864,17.1,864,38
865,12.25,865,38
866,11.54,866,38
867,12.21,867,37
868,6.488,868,37
869,6.036,869,37
870,29.19,870,37
