year,age,men,women
2018,39,5256,6337
2018,40,5232,5223
2018,41,6146,6003
2018,42,6186,6999
2018,43,6054,7438
2018,44,5933,7523
2018,45,7707,7244
2018,46,7328,6683
2018,47,7251,7746
2018,48,6985,8532
2018,49,6208,6578
2018,50,5591,6342
2018,51,5792,6782
2018,52,5560,6963
2018,53,5561,6264
2018,54,5769,6406
2018,55,4216,4556
2018,56,5898,6968
2018,57,5396,6854
2018,58,4966,5763
2018,59,5445,5418
2018,60,5408,5936
2018,61,5224,6226
2018,62,5746,7383
2018,63,5649,6862
2018,64,5776,6835
2018,65,5928,6947
2018,66,5742,7719
2018,67,5829,6912
2018,68,6513,6604
2018,69,5692,7706
2018,70,6749,8509
2018,71,6922,7597
2018,72,7904,8499
2018,73,8399,9272
2018,74,6991,8980
2018,75,3931,4714
2018,76,3951,4872
2018,77,4364,5932
2018,78,4491,5331
2018,79,4052,5568
2018,80,4396,5245
2018,81,2904,4914
2018,82,2617,4255
2018,83,2860,3902
2018,84,2833,4734
2018,85,2497,4563
2018,86,2073,3745
2018,87,1554,3104
2018,88,1859,3275
2018,89,1394,2719
2018,90,1121,2286
2018,91,965,2052
2018,92,670,1613
2018,93,553,1331
2018,94,307,887
2018,95,269,781
2018,96,139,617
2018,97,138,408
2018,98,65,311
2018,99,40,167
2018,100,65,377
2019,0,2292,2057
2019,1,2214,2251
2019,2,2400,2305
2019,3,2477,2376
2019,4,2539,2376
2019,5,2470,2457
2019,6,2686,2483
2019,7,2707,2506
2019,8,2744,2519
2019,9,2752,2634
2019,10,4390,4142
2019,11,3633,3912
2019,12,3155,2534
2019,13,1846,1818
2019,14,1949,1609
2019,15,1603,1892
2019,16,2014,2009
2019,17,2536,2445
2019,18,2013,2497
2019,19,2583,2675
2019,20,4460,4530
2019,21,4421,4545
2019,22,4683,5358
2019,23,5040,5310
2019,24,5616,5766
2019,25,5194,5472
2019,26,4981,4932
2019,27,5426,5325
2019,28,4299,4428
2019,29,3039,3019
2019,30,3382,4601
2019,31,3753,4183
2019,32,3704,4067
2019,33,4183,4065
2019,34,4952,5054
2019,35,4576,5347
2019,36,5686,4627
2019,37,4798,4549
2019,38,4641,5632
2019,39,4405,5903
2019,40,5263,6356
2019,41,5246,5260
2019,42,6180,6036
